label,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,idsubdatatable,segment
265@statistisches-amt-kanton-zuerich,3,4,3,0.179,0.179,13,0,1,3,3,0%,33%,0.06,110,dimension9==265%40statistisches-amt-kanton-zuerich
280@statistisches-amt-kanton-zuerich,3,4,3,0.593,0.593,56,0,0,3,14,0%,0%,0.198,97,dimension9==280%40statistisches-amt-kanton-zuerich
287@statistisches-amt-kanton-zuerich,3,4,3,0.024,0.024,508,0,0,3,127,0%,0%,0.008,168,dimension9==287%40statistisches-amt-kanton-zuerich
292@statistisches-amt-kanton-zuerich,3,4,3,0.022,0.022,346,0,0,3,87,0%,0%,0.007,100,dimension9==292%40statistisches-amt-kanton-zuerich
295@statistisches-amt-kanton-zuerich,3,4,3,0.272,0.272,11,0,1,3,3,0%,33%,0.091,83,dimension9==295%40statistisches-amt-kanton-zuerich
332@statistisches-amt-kanton-zuerich,3,3,3,0.614,0.614,279,0,0,3,93,0%,0%,0.205,59,dimension9==332%40statistisches-amt-kanton-zuerich
340@statistisches-amt-kanton-zuerich,3,4,2,0.032,0.032,4,0,1,3,1,0%,33%,0.016,139,dimension9==340%40statistisches-amt-kanton-zuerich
366@statistisches-amt-kanton-zuerich,3,5,3,0.9,0.904,175,0,0,3,35,0%,0%,0.451,127,dimension9==366%40statistisches-amt-kanton-zuerich
371@statistisches-amt-kanton-zuerich,3,5,4,0.485,0.485,35,0,1,3,7,0%,33%,0.159,82,dimension9==371%40statistisches-amt-kanton-zuerich
393@statistisches-amt-kanton-zuerich,3,4,2,0.022,0.022,96,0,1,3,24,0%,33%,0.011,103,dimension9==393%40statistisches-amt-kanton-zuerich
429@statistisches-amt-kanton-zuerich,3,3,3,1.2510000000000001,1.2510000000000001,26,0,0,3,9,0%,0%,0.417,NA,dimension9==429%40statistisches-amt-kanton-zuerich
437@statistisches-amt-kanton-zuerich,3,4,2,0.056,0.056,30,0,0,3,8,0%,0%,0.028,61,dimension9==437%40statistisches-amt-kanton-zuerich
444@statistisches-amt-kanton-zuerich,3,3,3,1.41,1.41,3,0,2,3,1,0%,67%,0.47,185,dimension9==444%40statistisches-amt-kanton-zuerich
